Player,Team,RATT,RYDS,RTDS,REC,CYDS,CTDS,FL,FPTS,POS,RBTrueFPTs,RBRank,VORP,WRTrueFPTs,WRRank,PATT,CMP,PYDS,PTDS,INTS,QBTrueFPTs,QBRank,TETrueFPTs,TERank
Mark Ingram II,HOU,59.4,244.2,1.8,11.9,99.1,0.7,0.6,48.4,RB,51.105000000000004,73.0,-36.565,,,,,,,,,,,
Kenneth Gainwell,PHI,54.4,248.4,1.7,13.4,104.0,0.5,1.1,45.9,RB,49.59,74.0,-38.08,,,,,,,,,,,
Chuba Hubbard,CAR,61.8,261.0,2.0,10.6,86.0,0.4,1.1,46.7,RB,49.55,75.0,-38.120000000000005,,,,,,,,,,,
Rhamondre Stevenson,NE,60.6,263.8,2.1,9.7,73.4,0.4,1.1,46.6,RB,48.945,76.0,-38.725,,,,,,,,,,,
Kyle Juszczyk,SF,13.9,52.6,0.7,21.8,230.2,2.0,0.7,43.0,RB,48.529999999999994,77.0,-39.14000000000001,,,,,,,,,,,
Wayne Gallman,SF,52.9,235.2,2.4,9.2,71.7,0.4,1.0,45.8,RB,47.79,78.0,-39.88,,,,,,,,,,,
Trayveon Williams,CIN,48.2,206.2,1.3,14.0,112.7,0.5,1.5,39.7,RB,43.19,79.0,-44.480000000000004,,,,,,,,,,,
Brian Hill,TEN,57.0,285.5,1.2,7.6,55.7,0.2,0.7,41.6,RB,43.02,80.0,-44.65,,,,,,,,,,,
Jake Funk,LAR,44.4,184.8,2.1,9.4,75.4,0.3,0.2,39.9,RB,42.370000000000005,81.0,-45.3,,,,,,,,,,,
Javian Hawkins,ATL,58.6,241.3,1.9,4.6,35.4,0.1,0.2,39.2,RB,40.42,82.0,-47.25,,,,,,,,,,,
Samaje Perine,CIN,51.2,216.4,1.5,9.0,61.4,0.2,0.1,37.7,RB,40.03,83.0,-47.64,,,,,,,,,,,
Mike Boone,DEN,48.0,228.1,1.8,6.4,43.3,0.1,0.6,37.4,RB,38.94,84.0,-48.730000000000004,,,,,,,,,,,
Benny Snell Jr.,PIT,59.9,222.1,1.8,6.4,43.4,0.1,0.6,36.7,RB,38.349999999999994,85.0,-49.32000000000001,,,,,,,,,,,
Peyton Barber,WAS,59.1,209.4,2.2,5.0,33.0,0.1,0.6,36.9,RB,38.09,86.0,-49.58,,,,,,,,,,,
Matt Breida,BUF,43.6,189.2,1.0,9.6,76.3,0.4,1.1,32.6,RB,35.15,87.0,-52.52,,,,,,,,,,,
Carlos Hyde,JAC,52.6,213.6,1.4,6.3,36.6,0.1,0.6,32.5,RB,34.394999999999996,88.0,-53.275000000000006,,,,,,,,,,,
Brandon Bolden,NE,19.4,98.7,2.3,4.9,48.9,0.6,0.0,32.2,RB,33.385,89.0,-54.285000000000004,,,,,,,,,,,
Jalen Richard,LV,23.7,103.6,0.5,16.3,129.0,0.4,0.6,27.7,RB,31.535,90.0,-56.135000000000005,,,,,,,,,,,
Larry Rountree III,LAC,36.8,154.7,1.4,4.6,34.9,0.2,0.2,28.1,RB,29.31,91.0,-58.36,,,,,,,,,,,
Jermar Jefferson,DET,27.9,113.8,0.8,10.6,78.6,0.1,0.1,24.6,RB,27.090000000000003,92.0,-60.58,,,,,,,,,,,
Elijah Mitchell,SF,26.8,124.1,0.8,5.7,51.5,0.2,0.1,23.2,RB,24.785000000000004,93.0,-62.885,,,,,,,,,,,
La'Mical Perine,NYJ,32.4,136.7,1.0,4.3,31.4,0.2,0.2,23.1,RB,24.685000000000002,94.0,-62.985,,,,,,,,,,,
Jaylen Samuels,PIT,26.4,110.6,0.6,7.8,51.9,0.3,0.1,21.9,RB,23.400000000000002,95.0,-64.27,,,,,,,,,,,
Raymond Calais,LAR,23.1,97.6,0.8,4.6,35.4,0.2,0.1,19.6,RB,20.250000000000004,96.0,-67.42,,,,,,,,,,,
Anthony McFarland Jr.,PIT,30.2,115.8,0.5,5.7,45.1,0.1,0.6,18.7,RB,19.915000000000003,97.0,-67.755,,,,,,,,,,,
Jerick McKinnon,KC,21.5,95.1,0.4,6.7,48.2,0.2,0.1,18.1,RB,19.404999999999998,98.0,-68.265,,,,,,,,,,,
Ito Smith,ARI,20.1,84.5,0.7,5.7,39.2,0.2,0.2,17.7,RB,18.795,99.0,-68.875,,,,,,,,,,,
Chris Evans,CIN,24.4,96.9,0.4,4.4,32.8,0.2,0.1,16.2,RB,17.470000000000002,100.0,-70.2,,,,,,,,,,,
Justice Hill,BAL,19.1,87.8,0.6,4.3,30.9,0.1,0.1,16.0,RB,16.944999999999997,101.0,-70.72500000000001,,,,,,,,,,,
Kylin Hill,GB,25.2,101.9,0.3,3.7,27.8,0.1,0.1,15.1,RB,16.095000000000002,102.0,-71.575,,,,,,,,,,,
Demetric Felton,CLE,18.7,90.2,0.7,2.5,20.6,0.0,0.0,15.4,RB,15.905000000000001,103.0,-71.765,,,,,,,,,,,
Ameer Abdullah,MIN,15.4,68.7,0.1,6.2,43.8,0.4,0.0,13.9,RB,15.8,104.0,-71.87,,,,,,,,,,,
Dontrell Hilliard,HOU,12.3,44.5,1.0,4.9,36.2,0.0,0.0,14.1,RB,15.295000000000002,105.0,-72.375,,,,,,,,,,,
Jeremy McNichols,TEN,19.4,87.4,0.3,3.6,22.8,0.0,0.0,13.0,RB,13.719999999999999,106.0,-73.95,,,,,,,,,,,
Trey Edmunds,PIT,14.8,64.0,0.4,3.9,25.8,0.2,0.0,12.3,RB,13.555000000000001,107.0,-74.115,,,,,,,,,,,
Reggie Bonnafon,CAR,19.2,87.9,0.4,2.3,17.7,0.0,0.0,12.9,RB,13.535000000000002,108.0,-74.135,,,,,,,,,,,
Lamar Miller,WAS,14.9,61.5,0.8,2.4,18.9,0.0,0.0,13.0,RB,13.440000000000001,109.0,-74.23,,,,,,,,,,,
Travis Homer,SEA,16.3,68.8,0.3,4.1,30.4,0.1,0.1,12.2,RB,13.145,110.0,-74.525,,,,,,,,,,,
Jordan Howard,PHI,14.9,64.4,1.0,0.4,4.6,0.0,0.0,12.9,RB,13.0,111.0,-74.67,,,,,,,,,,,
JaMycal Hasty,SF,14.9,76.7,0.4,2.2,14.8,0.1,0.0,12.1,RB,12.700000000000001,112.0,-74.97,,,,,,,,,,,
Kerryon Johnson,PHI,19.3,74.2,0.4,2.3,18.1,0.1,0.2,11.5,RB,12.405000000000001,113.0,-75.265,,,,,,,,,,,
Gerrid Doaks,MIA,12.2,50.9,0.4,4.4,32.8,0.1,0.1,11.6,RB,12.270000000000001,114.0,-75.4,,,,,,,,,,,
D'Ernest Johnson,CLE,18.2,77.9,0.4,2.3,16.9,0.0,0.1,11.5,RB,12.255,115.0,-75.415,,,,,,,,,,,
Ke'Shawn Vaughn,TB,15.0,63.7,0.5,2.3,16.5,0.1,0.0,11.6,RB,12.195,116.0,-75.475,,,,,,,,,,,
Patrick Ricard,BAL,0.9,1.4,0.0,8.8,58.5,0.8,0.5,9.8,RB,11.990000000000002,117.0,-75.68,,,,,,,,,,,
Devonta Freeman,NO,8.8,35.3,0.3,5.3,42.4,0.2,0.1,10.7,RB,11.895,118.0,-75.775,,,,,,,,,,,
Jordan Wilkins,IND,14.6,71.2,0.4,1.7,12.6,0.1,0.0,11.5,RB,11.805000000000001,119.0,-75.865,,,,,,,,,,,
Royce Freeman,DEN,14.3,59.9,0.4,3.2,20.0,0.1,0.0,10.8,RB,11.790000000000001,120.0,-75.88,,,,,,,,,,,
Alec Ingold,LV,4.5,18.8,0.2,6.6,54.5,0.3,0.1,9.9,RB,11.780000000000001,121.0,-75.89,,,,,,,,,,,
Gary Brightwell,NYG,20.0,88.0,0.0,3.0,22.0,0.0,0.0,11.0,RB,11.75,122.0,-75.92,,,,,,,,,,,
Eno Benjamin,ARI,16.4,70.7,0.3,2.3,18.6,0.0,0.0,11.0,RB,11.305,123.0,-76.36500000000001,,,,,,,,,,,
C.J. Ham,MIN,4.8,20.0,0.2,5.9,49.8,0.3,0.1,9.6,RB,11.255000000000003,124.0,-76.41499999999999,,,,,,,,,,,
D'Onta Foreman,ATL,16.8,70.6,0.4,1.4,10.0,0.0,0.0,10.7,RB,10.81,125.0,-76.86,,,,,,,,,,,
Kene Nwangwu,MIN,16.3,65.8,0.2,2.4,17.8,0.0,0.0,9.5,RB,10.16,126.0,-77.51,,,,,,,,,,,
Tony Brooks-James,PIT,15.5,65.4,0.4,0.9,6.3,0.0,0.0,9.4,RB,9.795000000000002,127.0,-77.875,,,,,,,,,,,
Khalil Herbert,CHI,9.7,40.4,0.3,2.8,22.0,0.1,0.1,8.3,RB,9.14,128.0,-78.53,,,,,,,,,,,
